LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,5575.483,5663.968,11239.451,433.119
174,Country/Area,910.0,Comoros,372.617,369.124,741.741,398.571
262,Country/Area,910.0,Djibouti,515.247,522.405,1037.653,44.765
232,Country/Area,910.0,Eritrea,1538.459,1586.238,3124.698,25.793
231,Country/Area,910.0,Ethiopia,53539.959,53178.203,106718.162,106.718
404,Country/Area,910.0,Kenya,23976.29,24163.396,48139.687,82.895
450,Country/Area,910.0,Madagascar,13091.345,13008.607,26099.952,44.861
454,Country/Area,910.0,Malawi,8549.013,9008.726,17557.739,185.694
480,Country/Area,910.0,Mauritius,648.202,643.601,1291.803,636.356
175,Country/Area,910.0,Mayotte,120.235,135.637,255.872,682.325
508,Country/Area,910.0,Mozambique,13192.329,14144.775,27337.105,34.763
638,Country/Area,910.0,Réunion,410.015,452.844,862.86,345.144
646,Country/Area,910.0,Rwanda,5784.207,6134.976,11919.183,492.325
690,Country/Area,910.0,Seychelles,59.301,50.52,109.821,240.309
706,Country/Area,910.0,Somalia,7187.258,7161.482,14348.74,22.872
728,Country/Area,910.0,South Sudan,5346.845,5483.257,10830.102,19.197
800,Country/Area,910.0,Uganda,19185.091,19614.061,38799.152,194.183
834,Country/Area,910.0,United Republic of Tanzania,26623.105,27200.909,53824.013,60.763
894,Country/Area,910.0,Zambia,8360.674,8553.749,16914.423,22.753
716,Country/Area,910.0,Zimbabwe,6909.792,7690.502,14600.294,37.741
24,Country/Area,911.0,Angola,14415.388,14767.683,29183.07,23.408
120,Country/Area,911.0,Cameroon,11689.96,11764.201,23454.161,50.325
140,Country/Area,911.0,Central African Republic,2309.345,2404.318,4713.663,7.566
148,Country/Area,911.0,Chad,7579.023,7535.632,15114.655,12.003
178,Country/Area,911.0,Congo,2611.267,2611.269,5222.536,15.293
180,Country/Area,911.0,Democratic Republic of the Congo,41630.029,42326.386,83956.415,37.033
226,Country/Area,911.0,Equatorial Guinea,797.279,710.907,1508.186,53.768
266,Country/Area,911.0,Gabon,1071.513,1028.793,2100.306,8.151
678,Country/Area,911.0,Sao Tome and Principe,101.54,102.148,203.689,212.176
12,Country/Area,912.0,Algeria,20894.164,19956.557,40850.721,17.152
818,Country/Area,912.0,Egypt,51327.304,50317.285,101644.589,102.109
434,Country/Area,912.0,Libya,3386.115,3246.011,6632.126,3.957
504,Country/Area,912.0,Morocco,17672.457,17351.0,35023.457,78.475
729,Country/Area,912.0,Sudan,20491.199,20768.693,41259.892,23.376
788,Country/Area,912.0,Tunisia,5730.439,5798.235,11528.674,74.173
732,Country/Area,912.0,Western Sahara,275.127,224.523,499.651,1.878
72,Country/Area,913.0,Botswana,1111.588,1123.188,2234.776,3.943
748,Country/Area,913.0,Eswatini,560.718,588.789,1149.507,66.204
426,Country/Area,913.0,Lesotho,1035.472,1094.95,2130.422,70.172
516,Country/Area,913.0,Namibia,1185.417,1253.796,2439.213,2.963
710,Country/Area,913.0,South Africa,27780.55,29479.001,57259.551,46.903
204,Country/Area,914.0,Benin,5848.391,5849.45,11697.842,103.741
854,Country/Area,914.0,Burkina Faso,9614.04,9720.815,19334.856,70.668
132,Country/Area,914.0,Cabo Verde,259.635,252.919,512.554,127.185
384,Country/Area,914.0,Côte d'Ivoire,13331.786,12657.619,25989.405,81.728
